expiry_month,n,share
01,19,0.001773711725168036
02,11,0.0010268857356235997
03,10,9.335324869305452e-4
04,10,9.335324869305452e-4
05,129,0.012042569081404032
06,9591,0.8953510082150858
07,36,0.0033607169529499626
08,13,0.0012135922330097086
09,12,0.0011202389843166542
10,3,2.8005974607916355e-4
11,8,7.468259895444362e-4
12,870,0.08121732636295743
