split_var,level,share_of_group_bosman_window,share_of_group_outside_window,share_played_bosman_window,share_played_outside_window,mean_rating_raw_bosman_window,mean_rating_raw_outside_window
position_group,attackers,0.1451463660834455,0.1784385367703897,0.7612286293827876,0.8422440468182429,6.740397531212748,6.761036076718124
position_group,defenders,0.23595222072678332,0.21787602206655496,0.7151515151515152,0.8063421406377399,6.829411978044987,6.869360006598654
position_group,keepers,0.0984185733512786,0.0710441283086629,0.45726495726495725,0.6072176792593094,6.806965624199269,6.809924687586533
position_group,midfielders,0.22577388963660835,0.2320589209665881,0.7481371087928465,0.8173918440816833,6.839733455380264,6.877839419859979
position_group,unknown,0.29470895020188426,0.30058239188780433,0.41058941058941056,0.4304608258126348,6.849233911318151,6.861982716049384
age_band,<=21,0.09930667117612244,0.23900110314130324,0.6240953597275436,0.6902688757205627,6.744368893512098,6.740155655977845
age_band,22-24,0.18952397057580114,0.2662954202775677,0.6076288199866161,0.6932706222865412,6.762232786041725,6.84073361506926
age_band,25-27,0.21425551703728757,0.23516178602912485,0.6235201262825573,0.6947784583239446,6.826535190721724,6.8706313144449425
age_band,28-30,0.20804092331106788,0.1525658874025117,0.6078032920138183,0.6838432635534085,6.844487842329648,6.883778830558255
age_band,31-33,0.17493869958569375,0.07816888178082654,0.6145480908651523,0.6660504098108091,6.826911877591877,6.882823660736543
age_band,34+,0.11393421831402722,0.02880692136866597,0.6152133580705009,0.6588628762541806,6.8307806719011,6.875619402657604
