split_var,group,level,n,share_of_group,share_played,mean_minutes,share_rated,mean_rating_raw
position_group,bosman_window,attackers,2786,0.1273425358807935,0.8198133524766691,153.32806891600868,0.8618090452261307,6.309656327059493
position_group,bosman_window,defenders,4384,0.2003839473443642,0.7853558394160584,181.9190237226273,0.8289233576642335,6.324329533244228
position_group,bosman_window,keepers,1814,0.08291434317579303,0.4856670341786108,134.86879823594253,0.46306504961411243,6.25559481292517
position_group,bosman_window,midfielders,4252,0.1943504890757839,0.8332549388523048,171.63617121354613,0.8381937911571026,6.376373563679119
position_group,bosman_window,unknown,8642,0.3950086845232654,0.5129599629715343,120.90661883823233,0.0912983105762555,6.8543986058301645
position_group,outside_window,attackers,31122,0.1573121171070988,0.8861898335582546,177.17399267399918,0.8697063170747381,6.288321618722737
position_group,outside_window,defenders,37409,0.18909096423300106,0.8560506829907242,212.15226282445187,0.8401454195514448,6.347127209881475
position_group,outside_window,keepers,12281,0.06207666956468995,0.6324403550199496,185.49206090708972,0.5791059359986972,6.246521763614778
position_group,outside_window,midfielders,39977,0.20207141268525444,0.8729519473697376,194.5308802561461,0.8642469419916452,6.420480121746725
position_group,outside_window,unknown,77047,0.3894488364099557,0.5317014289978844,120.62955079366918,0.11128272353238933,6.85109812056383
age_band,bosman_window,<=21,2289,0.1051108968177435,0.6387068588903452,125.78331148973386,0.30974224552206203,6.165603320124476
age_band,bosman_window,22-24,4179,0.1918997107039537,0.6508734146925101,140.6707346255079,0.43862167982771,6.3424782341378085
age_band,bosman_window,25-27,4558,0.20930339348854296,0.6910925844668714,159.2757788503728,0.5311540149188241,6.5031424342558175
age_band,bosman_window,28-30,4392,0.20168067226890757,0.6810109289617486,157.39367030965383,0.5555555555555556,6.450692805100182
age_band,bosman_window,31-33,3825,0.1756440281030445,0.6648366013071896,150.48156862745105,0.5861437908496732,6.334325333106778
age_band,bosman_window,34+,2534,0.11636129861780778,0.654301499605367,143.59116022099454,0.6089187056037885,6.217806993179644
age_band,outside_window,<=21,48262,0.2447152121774492,0.7088392524139074,142.99519290540118,0.41894243918610913,6.120761366999595
age_band,outside_window,22-24,52313,0.26525603776550705,0.7319786668705676,166.09741364478253,0.5626326152199262,6.409636667307433
age_band,outside_window,25-27,46038,0.23343829385904866,0.736065858638516,177.40462226856374,0.6040010426169686,6.467973619466613
age_band,outside_window,28-30,29666,0.1504231379647799,0.7300613496932515,177.77752309040557,0.6158565361019349,6.492549238929293
age_band,outside_window,31-33,15209,0.07711809833837854,0.7106318627128674,177.69800775856353,0.6128608061016504,6.460271878826272
age_band,outside_window,34+,5729,0.02904921989483665,0.6877290975737476,170.68755454704132,0.5976610228661198,6.423823319982199
