age_group,mean_length,median_length,n
<=21,3.7948779622313187,3.8275154004106775,922
22-24,3.50851890653592,3.7453798767967146,1225
25-27,3.113103287090366,2.9979466119096507,1148
28-30,2.4406268699293,2.4941820670773445,811
31-33,1.8052716944047174,1.8261464750171115,514
34+,1.2949169638675744,0.999315537303217,285
