months_to_expiry,share_played,mean_minutes,n
0,0.20691711389385808,29.221228384019135,1677
1,0.4659785932721712,100.19074923547387,2616
2,0.5287691187181355,138.43044428259302,2746
3,0.6659641728134879,135.65121180189684,2847
4,0.7173191771731918,171.75182481751813,3014
5,0.6922276197085357,160.50624566273376,2882
6,0.6858260607884442,149.96268432139684,3323
7,0.736648865153538,158.8758344459282,2996
8,0.7298423088366558,176.23058613507814,3361
9,0.7300138312586445,158.71977869986134,3615
10,0.735202492211838,161.6105919003109,3852
11,0.2294344473007712,34.17609254498718,3112
12,0.22260668973471742,28.075740099961507,2601
13,0.5329726944873776,113.00721277691838,3882
14,0.5813953488372093,154.11865750528557,3784
15,0.7466300549176236,153.31977034448323,4006
16,0.779523568170299,191.13684744044724,3946
17,0.7728337236533958,182.2461618527209,3843
18,0.730533270410571,164.71802737140194,4238
19,0.7898550724637681,179.73887163561068,3864
20,0.7700606877950101,195.51157563497281,4449
21,0.797090153286568,178.32709794751793,3849
22,0.7732702837232454,178.13439522150352,4018
23,0.25095298602287164,36.54320203303673,3148
24,0.26521060842433697,34.39547581903271,2564
25,0.5513188822146775,115.68425176286344,3829
26,0.5761194029850746,154.11696065128757,3685
27,0.755470737913486,150.9961832061065,3930
28,0.8027597402597403,201.84036796536617,3696
29,0.7931678676274353,194.2143047771565,3747
30,0.767491926803014,178.33638320774898,3716
31,0.819902650081125,192.37506760411117,3698
32,0.8241965973534972,209.25627869295383,3703
33,0.8161610093121058,180.67047161309728,3329
34,0.8102597829661295,174.58401841499398,3041
35,0.21428571428571427,29.907738095237978,2352
36,0.7187484061814658,165.92645483756448,39214
