sign_bin_6m,observations,players,signing_month_observations,mean_months_from_sign,mean_days_to_expiry,mean_rating,sd_rating,mean_weighted_rating,sd_weighted_rating,mean_fotmob_minutes
-24:-18,8274,1579,0,-20.56228255825366,693.616267826924,,,,,
-18:-12,9930,2233,0,-14.836857344380439,604.7435045317121,,,,,
-12:-6,14473,2553,0,-8.854441270995073,547.0828439162578,6.105499933306656,1.6218902404407827,6.720059542392221,0.9840781748121495,141.9628647214854
-6:0,13327,3115,0,-3.2033760714394504,459.11037742927215,5.571391003122561,1.8651129709154313,6.518966322818933,1.1956506474594797,197.81147884373695
0:6,21544,3534,3691,2.693941329860401,1019.6106572595365,5.337345724276473,1.9059892635670208,6.428979782473105,1.2191426167707295,207.78495562345563
6:12,13955,2625,276,8.902302830903349,929.6307416696687,5.5447350403733395,1.8367795562110383,6.5751133454294814,1.0448380049636752,210.2607589079133
12:18,11368,2086,287,14.878425712121814,874.3889866291644,5.6943072671747466,1.7911757127276018,6.635767152132536,1.0541118349480239,219.83881662841148
18:24,7553,1445,256,20.593548038017108,847.4994042102471,5.66705223942724,1.7946042238837074,6.5994431008482906,1.0326245272999557,222.7715087281796
