variable,n_bosman,mean_bosman,sd_bosman,n_outside,mean_outside,sd_outside,difference_bosman_minus_outside,t_statistic,p_value
DaysToExpiry,25911,112.25437073057779,49.50639816998764,208824,837.2629582805765,416.8284276912804,-725.0085875499988,-753.1730746705782,0
Age,25781,27.558046623482447,4.67820318870395,208142,24.805176273901356,4.1902582694217605,2.752870349581091,90.11233576360854,0
Minutes_tm,25911,135.09223881749122,158.20249489844264,208824,157.11796536795933,162.70726769741063,-22.025726550468107,-21.070759374425794,6.500096832223802e-98
Goals_tm,25911,0.1916560534136073,0.5882627885598133,208824,0.24972225414702312,0.6832728669238776,-0.05806620073341581,-14.705666525136316,8.279009856837054e-49
Assists_tm,25911,0.1341901123075141,0.44202356421374656,208824,0.1760908707811631,0.5058513040625046,-0.04190075847364899,-14.152126377580634,2.419347063185686e-45
Goals_per90_tm,15695,0.14337161991171737,0.9326372266153768,143514,0.15915085446309504,0.8527152057323449,-0.01577923455137767,-2.028885514426523,0.04248410820246231
Assists_per90_tm,15695,0.10253800837798044,0.8371329888769123,143514,0.11269838771390352,0.7857596810679637,-0.010160379335923078,-1.4521826923107024,0.14646746227225377
fotmob_matches,19683,3.495554539450304,1.4348352557939579,158370,3.455850224158621,1.453203685219832,0.039704315291682946,3.6561623191640913,2.5654462345196355e-4
fotmob_minutes,19683,182.36579789666078,147.52013812383834,158370,181.61391677720673,144.16010261630086,0.7518811194540547,0.6760659647755031,0.4990051232837761
fotmob_goals,19683,0.23720977493268333,0.6126510465087157,158370,0.2693691987118341,0.6689288391216084,-0.03215942377915079,-6.872870662059059,6.4350227578247895e-12
fotmob_assists,19683,0.16506630086876797,0.4631913913685682,158370,0.18381006503758343,0.4924480607938891,-0.018743764168815458,-5.316158350596039,1.0687049671997107e-7
fotmob_mean_rating_clean,16043,6.814701229285581,0.5525174905850271,132974,6.842031369511063,0.5689514138507841,-0.02733014022548197,-5.899256471815799,3.709181378981326e-9
fotmob_minutes_weighted_rating_clean,16037,6.853258764473355,0.5683814600481505,132958,6.883690082732659,0.5867848994669451,-0.030431318259303453,-6.382358451728138,1.7813749221770033e-10
