player_id,fotmob_player_id,fotmob_player_name,Club,nationality,position,expiry_rows,post_contract_rows,expiry_mean_rating,post_contract_mean_rating,expiry_weighted_rating,post_contract_weighted_rating,expiry_minutes,post_contract_minutes,mercenary_index_mean,mercenary_index_weighted,reliability_flag
439497,782705,Liam Scales,Celtic FC,Ireland,Defense,2,9,5.053333333333335,5.83510582010582,5.410256410256411,6.20966528587122,660,4358,-0.7817724867724856,-0.7994088756148097,TRUE
121257,191175,Adam Forshaw,Blackburn Rovers,England,Midfield,5,7,3.655,4.3916666666666675,5.520549871757378,6.321935120674672,578,843,-0.7366666666666677,-0.8013852489172937,TRUE
291927,1107973,Burak Yilmaz,Hatayspor,Turkey,Defense,1,4,5.4,5.363333333333332,5.4,6.220252381580613,77,1140,0.03666666666666796,-0.8202523815806124,FALSE
121985,197352,Juan Jesus,SSC Napoli,Brazil,Defense,5,8,4.4025,4.6046875,5.411494626707948,6.236456081329883,1200,2370,-0.20218749999999996,-0.8249614546219348,TRUE
575319,1108031,Kandet Diawara,Pau FC,Guinea,Attack,1,1,4.8,7.65,6.80388349514563,7.64086956521739,103,345,-2.8500000000000005,-0.8369860700717595,FALSE
335209,566158,Kevin Diks,FC Copenhagen,Netherlands,Defense,3,7,6.083333333333334,6.767857142857143,5.932285813169393,6.777544546371368,393,2387,-0.6845238095238093,-0.845258733201975,TRUE
108416,308841,Ivan Schranz,SK Slavia Prague,Slovakia,Attack,1,2,2.9,5.775,5.8,6.6661853497379795,25,307,-2.8750000000000004,-0.8661853497379797,FALSE
341773,607885,Ali Aytemur,Bodrum FK,Türkiye,Defense,1,8,5.7,6.255208333333334,5.7,6.606629184100418,90,2368,-0.5552083333333337,-0.9066291841004182,FALSE
404841,963591,Denys Popov,Dynamo Kyiv,Ukraine,Defense,2,5,0,0.990666666666666,0,0.917777777777778,506,1122,-0.990666666666666,-0.917777777777778,TRUE
227110,700074,Jordan Torunarigha,KAA Gent,Germany,Defense,3,6,5.086666666666667,5.594166666666666,6.08927738927739,7.026279864337158,577,1441,-0.5074999999999994,-0.9370024750597681,TRUE
700031,1301081,Arda Kurtulan,Adana Demirspor,North Macedonia,Attack,3,4,5.925,6.672916666666665,5.925,6.869333037164092,630,1077,-0.747916666666665,-0.9443330371640926,TRUE
294780,851182,Oleksandr Pikhalyonok,Dynamo Kyiv,Ukraine,Midfield,3,8,0,1.0675,0,0.9459043298170324,197,1969,-1.0675,-0.9459043298170324,TRUE
203348,277761,Chancel Mbemba,Democratic Republic of the Congo,DR Congo,Defense,4,6,2.0416666666666674,3.542361111111112,5.2647865050079075,6.215016603977767,781,2122,-1.5006944444444446,-0.9502300989698593,TRUE
315138,1019234,Mats Knoester,Aberdeen FC,Netherlands,Defense,3,6,5.805,6.539861111111112,5.55486146962657,6.515377110096348,927,2682,-0.7348611111111119,-0.9605156404697777,TRUE
358948,618718,Bright Osayi-Samuel,Fenerbahce,Nigeria,Attack,3,7,3.56,3.8050340136054426,4.50640589569161,5.482749258472615,556,1695,-0.24503401360544252,-0.9763433627810052,TRUE
308120,866373,Mohamed Kanno,Al-Hilal SFC,Saudi Arabia,Midfield,2,7,4.645,6.448299319727893,6.6348724706381805,7.612308486984238,487,2813,-1.803299319727893,-0.9774360163460578,TRUE
402008,688830,Amadou Haidara,RB Leipzig,Mali,Midfield,1,2,2.9,5.363333333333335,5.8,6.78128634964078,55,153,-2.463333333333335,-0.9812863496407802,FALSE
850132,1269793,Montader Madjed,Hammarby IF,Sweden,Attack,4,3,4.217142857142857,4.407777777777777,5.484289709859848,6.466099833354696,500,751,-0.1906349206349196,-0.9818101234948484,TRUE
418660,889626,Lenny Pintor,LASK,France,Attack,1,2,5.425,6.375,5.50409556313993,6.495433335473789,293,440,-0.9500000000000002,-0.9913377723338597,FALSE
84992,185566,James Forrest,Celtic FC,Scotland,Midfield,7,9,3.324727891156463,4.242645502645503,4.131539702213802,5.131041112452012,804,1185,-0.9179176114890404,-0.99950141023821,TRUE
196139,490489,Robert Glatzel,Hamburger SV,Germany,Attack,3,6,3.8027777777777767,3.77638888888889,4.4579059209890834,5.471420007262052,242,433,0.026388888888886797,-1.0135140862729681,TRUE
