sample_name,years_remaining,n,pct
playerbios,0,8863,37.09920468815404
playerbios,1,7163,29.983256592716618
playerbios,2,4625,19.35956467141063
playerbios,3,2221,9.296776894097949
playerbios,4,885,3.7044788614483046
playerbios,5,110,0.46044370029300963
playerbios,6,23,0.09627459187944747
