exercise,outcome_name,note,term,estimate,std_error,t_value,p_value,nobs
twoway_cluster,z_ls,"player+Month FE, cluster player & Month",BosmanTRUE,0.045415778974180455,0.01769110999741067,2.56715259702911,0.013496800522423974,136642
twoway_cluster,z_ls,"spell+league-month FE, cluster player & Month",BosmanTRUE,0.011921457165925716,0.01808009655897721,0.6593691093981697,0.5128767494891913,136642
position_standardized,z_lsp,player+Month FE,BosmanTRUE,0.04450253145651444,0.012370743418081098,3.5974015426970603,3.235506943921935e-4,136634
position_standardized,z_lsp,spell+league-month FE,BosmanTRUE,0.01506111496447056,0.013694970694552066,1.0997551802328394,0.2714752805682575,136634
lee_bound,z_ls,"lower bound (trim control group, league-month FE)",BosmanTRUE,-0.15470103282881822,0.01334434304179709,-11.593004791938004,8.6859384406974e-31,75694
lee_bound,z_ls,"upper bound (trim control group, league-month FE)",BosmanTRUE,0.12250663748629727,0.013409105631798764,9.136078188226161,8.376128750152421e-20,75694
lee_bound,z_ls,untrimmed reference (league-month FE),BosmanTRUE,-0.002616305634264524,0.013457256399647614,-0.19441597578040004,0.845855896902425,89074
