model_name,sample_name,outcome_name,term,estimate,std_error,t_value,p_value,nobs
final_180_fe,source_league,fotmob_mean_rating,final_180TRUE,0.018041960470769065,0.006431703439564741,2.8051605053466266,0.005041989557963409,144231
final_180_fe,source_league,fotmob_minutes_weighted_rating,final_180TRUE,0.017425613113842334,0.006527823720295573,2.669436838446569,0.007614085931685465,144208
expiry_window_fe,source_league,fotmob_mean_rating,expiry_window::0-180,0.010687657434514636,0.0069728227767185385,1.5327590814726437,0.1253770418040285,144231
expiry_window_fe,source_league,fotmob_mean_rating,expiry_window::361-720,-8.743413116931296e-4,0.00658982281537517,-0.13268054941525037,0.8944495549664615,144231
expiry_window_fe,source_league,fotmob_mean_rating,expiry_window::721+,-0.029624777353947074,0.00761166548793417,-3.892023027142688,1.0026558121052993e-4,144231
expiry_window_fe,source_league,fotmob_minutes_weighted_rating,expiry_window::0-180,0.010847531821471482,0.007117962773298368,1.523965798495583,0.12755906636499656,144208
expiry_window_fe,source_league,fotmob_minutes_weighted_rating,expiry_window::361-720,2.486904297567786e-4,0.006738765094794485,0.036904451521672016,0.9705621643522002,144208
expiry_window_fe,source_league,fotmob_minutes_weighted_rating,expiry_window::721+,-0.028374485623779054,0.00778088117219325,-3.646693092445845,2.674218416178585e-4,144208
final_180_fe,all_comps,fotmob_mean_rating,final_180TRUE,0.01792842275675952,0.006302363537700821,2.844714153588802,0.004456811235443786,148591
final_180_fe,all_comps,fotmob_minutes_weighted_rating,final_180TRUE,0.01651741771405375,0.006411226799861392,2.5763271569820065,0.010004005555010883,148569
expiry_window_fe,all_comps,fotmob_mean_rating,expiry_window::0-180,0.006399704036122816,0.0068008942496331345,0.9410091969108385,0.34672955511894576,148591
expiry_window_fe,all_comps,fotmob_mean_rating,expiry_window::361-720,-0.0059447419310751995,0.006414561526566024,-0.9267573327428448,0.3540814798472912,148591
expiry_window_fe,all_comps,fotmob_mean_rating,expiry_window::721+,-0.03815911923155637,0.007383223365389187,-5.168354977642602,2.4207576930525364e-7,148591
expiry_window_fe,all_comps,fotmob_minutes_weighted_rating,expiry_window::0-180,0.005806283678456688,0.006965535279436315,0.8335732209408263,0.4045472871143072,148569
expiry_window_fe,all_comps,fotmob_minutes_weighted_rating,expiry_window::361-720,-0.004753714048230938,0.006566303716063477,-0.72395585915432,0.46911475158923166,148569
expiry_window_fe,all_comps,fotmob_minutes_weighted_rating,expiry_window::721+,-0.03685760527870407,0.007535711835819715,-4.891058214767152,1.0232129350030769e-6,148569
