model_name,outcome_name,position_group,spec_name,term,estimate,std_error,t_value,p_value,nobs,mde_80pct
pooled_position_standardized,zp_mean,all,spell_leaguemonth,BosmanTRUE,0.023013205635839463,0.015378511987446972,1.4964520400039008,0.13458469636268106,110589,0.04305983356485152
pooled_position_standardized,zp_mean,all,spell_clubmonth,BosmanTRUE,-0.017206695232637705,0.01691153240865599,-1.0174533458499975,0.30917020222624103,106858,0.047352290744236775
pooled_position_standardized,zp_weighted,all,spell_leaguemonth,BosmanTRUE,0.022091514088375033,0.014458654023967817,1.5279094479855717,0.12658392812549776,110586,0.040484231267109885
pooled_position_standardized,zp_weighted,all,spell_clubmonth,BosmanTRUE,-0.012741902213644275,0.015544047788849238,-0.8197287081673074,0.41255523001105254,106856,0.04352333380877786
by_position,zp_mean,keepers,spell_leaguemonth,BosmanTRUE,-5.743006797216181e-4,0.05642828940096295,-0.010177531266999875,0.9918829946426913,7952,0.15799921032269626
by_position,zp_weighted,keepers,spell_leaguemonth,BosmanTRUE,0.007984281134982802,0.05990670731589632,0.1332785841972684,0.8940173090530195,7952,0.1677387804845097
by_position,zp_mean,defenders,spell_leaguemonth,BosmanTRUE,0.0034898101232616963,0.027038245255307857,0.12906940115045426,0.8973156150730079,35060,0.075707086714862
by_position,zp_weighted,defenders,spell_leaguemonth,BosmanTRUE,0.003948949961956549,0.02447594745134818,0.16134002452023707,0.8718417755369584,35060,0.0685326528637749
by_position,zp_mean,midfielders,spell_leaguemonth,BosmanTRUE,0.04428572118038193,0.02671636846703924,1.657625033694924,0.09754140531337785,38111,0.07480583170770987
by_position,zp_weighted,midfielders,spell_leaguemonth,BosmanTRUE,0.054844545015573176,0.024485841755191137,2.239847237595817,0.02520430735950672,38110,0.06856035691453517
by_position,zp_mean,attackers,spell_leaguemonth,BosmanTRUE,0.03090711675867029,0.03096582930732918,0.9981039568462327,0.3183687759235865,29466,0.0867043220605217
by_position,zp_weighted,attackers,spell_leaguemonth,BosmanTRUE,0.00469169949106232,0.030360554475944945,0.15453273407044044,0.8772077599065016,29464,0.08500955253264585
