season,estimate,p_value,nobs,bosman_rows
2022/2023,0.31886659517058147,0.06708023261404523,2397,47
2023/2024,0.1066737992699982,0.29203321041392716,6343,231
2024/2025,0.07931977952144441,0.2694030110966537,9628,659
2025/2026,-0.020631366815830464,0.789309902745309,12404,481
