outcome_name,split_var,term,estimate,std_error,p_value,nobs
played,foreign,BosmanTRUE,0.0048934353810598805,0.008168651734242317,0.5491569532767309,145165
played,foreign,BosmanTRUE:foreignTRUE,-0.020927730964016063,0.010453218147124325,0.04531606501019205,145165
played,club_tenure_band,BosmanTRUE,-0.043328349234024933,0.006702450830167784,1.0800149200514135e-10,211855
played,club_tenure_band,BosmanTRUE:club_tenure_band1-3y,0.005634849786470519,0.008747595541343453,0.5194916043988415,211855
played,club_tenure_band,BosmanTRUE:club_tenure_band3-6y,0.025723131329863647,0.01495622046089335,0.08549300208134544,211855
played,league_tenure_band,BosmanTRUE,-0.025899579529500383,0.007440129547137535,5.022602677623294e-4,213702
played,league_tenure_band,BosmanTRUE:league_tenure_band1-3y,-0.01697724907718199,0.009387425237102913,0.07056716514457831,213702
played,league_tenure_band,BosmanTRUE:league_tenure_band3-6y,-0.001466947053177394,0.015219587116830266,0.9232170016584788,213702
z_rating,foreign,BosmanTRUE,0.014177071698637958,0.020560660986381624,0.49051571726443177,119955
z_rating,foreign,BosmanTRUE:foreignTRUE,0.0029775466051624694,0.026117017430851344,0.9092347004162123,119955
z_rating,club_tenure_band,BosmanTRUE,0.033405775368603785,0.022179342772831054,0.1320698164046422,116064
z_rating,club_tenure_band,BosmanTRUE:club_tenure_band1-3y,-0.010969456165835889,0.02784444956320405,0.6936264125184896,116064
z_rating,club_tenure_band,BosmanTRUE:club_tenure_band3-6y,-0.10071577917966042,0.04837669987788923,0.03738736012956235,116064
z_rating,league_tenure_band,BosmanTRUE,0.01692826394273392,0.0241100956581412,0.4826254074383878,116940
z_rating,league_tenure_band,BosmanTRUE:league_tenure_band1-3y,0.013100968012803596,0.029791820233232524,0.6601313324734533,116940
z_rating,league_tenure_band,BosmanTRUE:league_tenure_band3-6y,-0.03359888124047277,0.04571112624522233,0.4623479719441711,116940
