panel,outcome_name,wage_tercile,term,estimate,std_error,t_value,p_value,nobs
full,played,low_pressure,BosmanTRUE,-0.014229697029185317,0.010204216557172806,-1.3944918700478672,0.16329612244667,28759
strict,z_weighted,low_pressure,BosmanTRUE,0.047830067642466834,0.03246380731396419,1.4733351260957275,0.14079439266827404,25528
full,played,mid_pressure,BosmanTRUE,-0.013736203658716034,0.010554687377888596,-1.3014315978218847,0.19323218648583582,24399
strict,z_weighted,mid_pressure,BosmanTRUE,0.01812219635273951,0.037128415484872154,0.48809506455031293,0.6255276209576303,21734
full,played,high_pressure,BosmanTRUE,-0.003074069031481821,0.010554280487369007,-0.29126277581506,0.7708757565882114,25458
strict,z_weighted,high_pressure,BosmanTRUE,0.009730598233861142,0.03509382902197594,0.2772737687804825,0.78159475264316,22470
