"sample_name","side","cutoff_days","bandwidth_days","n_rows","n_players","mean_age","mean_minutes","mean_matches","mean_rating","weighted_rating"
"all_comps","above_cutoff",180,90,7132,2443,27.4111017187944,181.670563674322,3.83799582463465,4.50252617359,6.09097566157583
"all_comps","inside_cutoff",180,90,9805,2458,27.7033620336206,176.518810542915,3.57310205001126,4.64597531209139,6.16792751923019
"source_league","above_cutoff",180,90,7049,2415,27.4111190306487,157.250235626767,3.21489161168709,4.78532383298147,6.24840720437803
"source_league","inside_cutoff",180,90,9691,2438,27.7061812901891,168.260470143205,3.37368278843556,4.82064818920917,6.29882822878666
