"sample_name","renewal_status","n_rows","n_players","observed_signing_events","mean_rating_raw","weighted_rating_raw"
"all_comps_strict","no_observed_renewal_yet",35430,5412,0,5.33124443293872,6.11376531618633
"all_comps_strict","post_observed_renewal",14583,1879,0,5.67424630331687,6.47598384407846
"all_comps_strict","signing_month",2322,1968,2322,5.4034946919049,6.25078493205778
