outcome_name,spec_name,term,estimate,std_error,t_value,p_value,nobs
z_starts60,player+month,BosmanTRUE,0.02033495079889373,0.01109122401199924,1.8334271111009928,0.06677875645569076,121725
z_starts60,spell+league-month,BosmanTRUE,-0.010542308912471373,0.01281710946901408,-0.8225184420838305,0.410808089505064,121725
z_starts60,spell+club-month,BosmanTRUE,-0.013251938788369265,0.015232194884337615,-0.869995354510299,0.38449554702375643,108893
rating_binz,player+month,BosmanTRUE,0.01493713141103024,0.007133917347266076,2.093818961437026,0.03630861686924589,148568
rating_binz,spell+league-month,BosmanTRUE,-0.0035832651649571295,0.008142778035562348,-0.4400543830751326,0.6599100279422807,148568
rating_binz,spell+club-month,BosmanTRUE,0.0024683780568867373,0.00930278803965573,0.2653374500595507,0.7907956670968056,132673
