sample_name,expiry_window,n_rows,n_players,mean_rating_raw,weighted_rating_raw
source_league,0-180,21804,3649,5.911099672112928,6.586552798518057
source_league,181-360,25468,4466,6.00536290619115,6.616212451499885
source_league,361-720,61296,5443,6.146621409824882,6.682207445152386
source_league,721+,110780,5987,6.192893671420543,6.705681487385534
all_comps,0-180,21878,3668,5.734010573950842,6.468047396353141
all_comps,181-360,25565,4482,5.842721498322447,6.491210925113716
all_comps,361-720,61384,5452,5.963557219696987,6.54099008018044
all_comps,721+,110887,5992,6.015594951965491,6.577438308421944
