model_name,sample_name,outcome_name,split_var,split_level,term,estimate,std_error,t_value,p_value,nobs
observed_renewal_status_fe,source_league_strict,z_mean_rating_league_season,age_group,23_28,post_observed_renewalTRUE,-0.10282923541075405,0.018127996951060897,-5.672399200438757,1.4938444112186404e-8,73286
bosman_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,BosmanTRUE,0.031233011287049067,0.016656415142786988,1.8751340561161765,0.060837216896420916,73285
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,expiry_bin_6m::0:6,0.06615854766099864,0.02120800775293099,3.1195078968157866,0.0018226753367857217,73285
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,expiry_bin_6m::6:12,0.06367558701149822,0.021320315535855637,2.986615601650511,0.0028356307240613326,73285
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,expiry_bin_6m::12:18,0.05097026787925431,0.017062689581571956,2.987235255941315,0.0028299003161635474,73285
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,expiry_bin_6m::18:24,0.03094135956709656,0.01874053081207993,1.6510396571666004,0.09879834094187136,73285
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,expiry_bin_6m::30:36,-0.00506070957295434,0.017332591280500895,-0.291976513554994,0.7703176712225289,73285
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,expiry_bin_6m::36:48,-0.07480194917222646,0.018514097040546365,-4.040269909378146,5.4255633283805605e-5,73285
expiry_bin_6m_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,expiry_bin_6m::48+,-0.12057861898421449,0.02798252590945986,-4.309068429860769,1.6734647956802192e-5,73285
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,signed_new_contractTRUE,-0.12692258638677764,0.021287334201267574,-5.962352316487798,2.6711868779518606e-9,73285
observed_renewal_status_fe,source_league_strict,z_weighted_rating_league_season,age_group,23_28,post_observed_renewalTRUE,-0.0940849695693282,0.017880121210441267,-5.261987234985095,1.489466835044754e-7,73285
bosman_fe,source_league_strict,z_mean_rating_league_season,age_group,29_plus,BosmanTRUE,0.03756390449202493,0.017483632063795104,2.1485183601988407,0.03177955277799874,34711
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,29_plus,expiry_bin_6m::0:6,0.009149014305166323,0.02982694624460667,0.30673654051395405,0.7590724367505279,34711
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,29_plus,expiry_bin_6m::6:12,-0.039997442316965406,0.031105247320396368,-1.2858744347850994,0.1986198532743137,34711
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,29_plus,expiry_bin_6m::12:18,-0.029878597355891427,0.02606174925767298,-1.1464540258016145,0.2517298440086511,34711
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,29_plus,expiry_bin_6m::18:24,-0.04646786295585847,0.028222463584498578,-1.6464850000331412,0.0998042851138943,34711
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,29_plus,expiry_bin_6m::30:36,-0.0381993114299831,0.028486448920001607,-1.3409643138482472,0.18006805809995954,34711
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,29_plus,expiry_bin_6m::36:48,-0.036945560408448944,0.038206043704015875,-0.9670082747815514,0.33364433490191536,34711
expiry_bin_6m_fe,source_league_strict,z_mean_rating_league_season,age_group,29_plus,expiry_bin_6m::48+,-0.027754541435055808,0.08991674329163832,-0.3086693358659132,0.7576017882181055,34711
