sample_name,outcome_name,check_type,cutoff_days,bandwidth_days,donut_days,specification,estimate,std_error,t_value,p_value,nobs,n_players,n_above,n_inside
source_league,fotmob_minutes_weighted_rating,placebo_cutoff,120,90,0,month_fe,-0.031225964291629514,0.16873482684780725,-0.18505939096849408,0.8531950040148135,13633,2991,8185,5448
source_league,fotmob_mean_rating,placebo_cutoff,150,90,0,month_fe,0.8285554343492042,0.5326271851352579,1.5556010986160929,0.11990122098871478,16336,3222,5956,10380
source_league,fotmob_minutes_weighted_rating,placebo_cutoff,150,90,0,month_fe,1.0666026322349431,0.5353898394031343,1.9921981213241136,0.04643658261893635,15493,3112,5634,9859
source_league,fotmob_mean_rating,placebo_cutoff,210,90,0,month_fe,-0.5147445752398423,0.2138117667326184,-2.4074660768485883,0.01611587030210501,18068,3449,9339,8729
source_league,fotmob_minutes_weighted_rating,placebo_cutoff,210,90,0,month_fe,-0.4717639247238312,0.23727554674551973,-1.9882534512913903,0.046865136360789116,17087,3342,8886,8201
source_league,fotmob_mean_rating,placebo_cutoff,240,90,0,month_fe,-0.30981841417567557,0.21206537147010346,-1.4609571191558408,0.14411580846523828,16556,3547,9992,6564
source_league,fotmob_minutes_weighted_rating,placebo_cutoff,240,90,0,month_fe,-0.34503016071318704,0.2077058150391884,-1.6611482959593082,0.09677479253609021,15769,3441,9529,6240
source_league,fotmob_mean_rating,fe_compare,180,90,0,month_fe,0.11611768476522019,0.33750001825603576,0.34405238069388927,0.7308284295182177,15583,3360,6820,8763
source_league,fotmob_minutes_weighted_rating,fe_compare,180,90,0,month_fe,0.31910010984991277,0.29348914496666295,1.08726375514215,0.2770008888738023,14801,3251,6506,8295
source_league,fotmob_mean_rating,fe_compare,180,90,0,no_fe,-0.5603020510541477,0.05773785979008403,-9.704240044421852,5.605521305825271e-22,15583,3360,6820,8763
source_league,fotmob_minutes_weighted_rating,fe_compare,180,90,0,no_fe,-0.10720772230943787,0.04025749698550729,-2.663049874860145,0.007781780775378289,14801,3251,6506,8295
all_comps,fotmob_mean_rating,bandwidth_donut,180,45,0,month_fe,0.4237548930210071,0.5245835098598144,0.8077930111342007,0.41927448411855917,6840,2969,3749,3091
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,45,0,month_fe,0.020801907836668798,0.6778650118687682,0.030687389778860513,0.9755209883877769,6530,2862,3594,2936
all_comps,fotmob_mean_rating,bandwidth_donut,180,60,0,month_fe,-0.33954786905704903,0.26057856576838995,-1.3030537183892914,0.1926507950249131,9884,3180,3762,6122
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,60,0,month_fe,-0.4705235984376084,0.31110195620626085,-1.5124417865301074,0.13052545570462998,9327,3041,3607,5720
all_comps,fotmob_mean_rating,bandwidth_donut,180,90,0,month_fe,0.42398507012640974,0.3607498652851176,1.1752882285661128,0.2399599193433361,16062,3477,7000,9062
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,90,0,month_fe,0.7007815497758869,0.3591637063418244,1.9511480068894738,0.0511223179814407,15263,3366,6704,8559
all_comps,fotmob_mean_rating,bandwidth_donut,180,120,0,month_fe,0.413777918180135,0.36481718729262474,1.1342062068151362,0.25678279037541224,22163,3639,10431,11732
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,120,0,month_fe,0.8328025688157265,0.35614632364391197,2.338371937396138,0.01942323880966037,21143,3548,10000,11143
all_comps,fotmob_mean_rating,bandwidth_donut,180,180,0,month_fe,-0.12275532479770096,0.25398187148590634,-0.483323176097286,0.6288912726577951,29625,4236,17423,12202
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,180,0,month_fe,0.2717308167323672,0.2424692530956653,1.1206815431775874,0.262488397908641,28309,4144,16716,11593
all_comps,fotmob_mean_rating,bandwidth_donut,180,45,7,month_fe,-1.103593607368466,1.1102090797009236,-0.9940412374088674,0.3202845679856075,5981,2942,2891,3090
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,45,7,month_fe,-1.4540079490397062,1.175700853671526,-1.236715908216849,0.21629522687745167,5687,2830,2752,2935
all_comps,fotmob_mean_rating,bandwidth_donut,180,60,7,month_fe,-1.1229362859439265,0.814331430503469,-1.378967142714434,0.16800247953716066,9025,3161,2904,6121
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,60,7,month_fe,-0.830036175009063,0.7892793267252616,-1.0516380537330208,0.29304986427478863,8484,3018,2765,5719
all_comps,fotmob_mean_rating,bandwidth_donut,180,90,7,month_fe,0.46852210948525497,0.6444250458545933,0.727038951231221,0.46725116791837573,15203,3469,6142,9061
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,90,7,month_fe,0.9077879218625071,0.6293076941337978,1.4425183901684528,0.1492495897449009,14420,3354,5862,8558
all_comps,fotmob_mean_rating,bandwidth_donut,180,120,7,month_fe,0.24538246026781385,0.6240825196495827,0.3931891257034312,0.6942028776997273,21304,3633,9573,11731
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,120,7,month_fe,0.920397486309854,0.5999305747195763,1.5341733278722667,0.12507643043483999,20300,3539,9158,11142
all_comps,fotmob_mean_rating,bandwidth_donut,180,180,7,month_fe,0.24245168955329138,0.410545268786726,0.5905601841906563,0.5548466911088104,28766,4232,16565,12201
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,180,7,month_fe,0.583355554237562,0.36875020913822587,1.5819802668068221,0.1137305359137047,27466,4137,15874,11592
all_comps,fotmob_mean_rating,bandwidth_donut,180,45,14,month_fe,2.232046811890794,1.3744355552217715,1.6239734219700415,0.10448864406889728,5969,2942,2888,3081
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,45,14,month_fe,2.259282768885602,1.008252170304291,2.2407913768276337,0.0251168928696468,5675,2830,2749,2926
all_comps,fotmob_mean_rating,bandwidth_donut,180,60,14,month_fe,-0.027208627693200427,0.8865402363918006,-0.0306907984277611,0.9755180676523386,9013,3161,2901,6112
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,60,14,month_fe,0.44660300993785285,0.7511962449574133,0.594522420653436,0.5522073310775142,8472,3018,2762,5710
all_comps,fotmob_mean_rating,bandwidth_donut,180,90,14,month_fe,0.7984949890420596,0.6564352938147814,1.216410812407295,0.22391124913186938,15191,3469,6139,9052
all_comps,fotmob_minutes_weighted_rating,bandwidth_donut,180,90,14,month_fe,1.2559095441494732,0.6444967703477322,1.9486669319876637,0.051418514984952986,14408,3354,5859,8549
