variable,n_bosman,n_non_bosman,mean_bosman,mean_non_bosman,diff,sd_bosman,sd_non_bosman,smd,p_value
Age,14019,137456,27.61637777302286,24.92110930043357,2.695268472589291,4.757261457160795,4.050349254581714,0.610069845235671,0
crosswalk_candidate_score,4726,52776,136.23889123994923,139.0152720933757,-2.776380853426474,14.805413651591076,12.12681584516896,-0.20516313704600797,1.8111122945775725e-35
PlayerHeight,13473,130781,1.8290187782973355,1.8296939922465802,-6.752139492447462e-4,0.0694566780473871,0.06865643912853403,-0.009777530612541014,0.2821417257773962
