model_name,sample_name,outcome_name,spec_name,term,estimate,std_error,t_value,p_value,nobs,mde_80pct
bosman,source_league_strict,z_mean_rating_league_season,player_month,BosmanTRUE,0.0015787946260529986,0.02425102081059467,0.06510219253794308,0.9480953057439471,48694,0.06790285826966506
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::0:6,0.0028208713018665517,0.03248423950995667,0.08683815119026975,0.930803730481823,48694,0.09095587062787867
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::6:12,0.006158949471982209,0.031214977431863293,0.1973075100062492,0.8435951334509347,48694,0.08740193680921722
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::12:18,0.004617778350824471,0.024446019507539902,0.18889694289085415,0.8501814576651342,48694,0.06844885462111172
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::18:24,0.03932989297272195,0.026209443873944405,1.5006000570588596,0.13352383608568227,48694,0.07338644284704433
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::30:36,0.009704797752013073,0.023008833383408905,0.42178573725562984,0.6732000264518276,48694,0.06442473347354492
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::36:48,0.0023867958260267185,0.023444091503356527,0.10180798968836123,0.9189132733362819,48694,0.06564345620939827
expiry_bin_6m,source_league_strict,z_mean_rating_league_season,player_month,expiry_bin_6m::48+,-0.034250026244964135,0.031152260105552228,-1.0994395311581195,0.271630719683765,48694,0.08722632829554623
bosman,source_league_strict,z_weighted_rating_league_season,player_month,BosmanTRUE,0.01997246927810303,0.021677160241031904,0.9213600423683668,0.3569081033475252,48694,0.06069604867488933
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::0:6,0.010811785682226628,0.028271011383133978,0.38243363619728027,0.7021564265986902,48694,0.07915883187277513
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::6:12,-0.011978257217131883,0.029137190882803407,-0.4110985600949396,0.6810183467859132,48694,0.08158413447184953
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::12:18,-0.0018619109728641998,0.021870683892131215,-0.08513272753825915,0.9321593699370331,48694,0.0612379148979674
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::18:24,0.009728598857654152,0.024391613193221657,0.39885016134798723,0.6900210937976808,48694,0.06829651694102064
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::30:36,0.0012119790291654704,0.02235300331605721,0.054219963735022976,0.9567621384096696,48694,0.06258840928496019
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::36:48,-0.004663431789359273,0.021393058626772384,-0.21798808065356362,0.8274475276764057,48694,0.05990056415496267
expiry_bin_6m,source_league_strict,z_weighted_rating_league_season,player_month,expiry_bin_6m::48+,-0.004944909926996365,0.02816005942370637,-0.17560012401229252,0.8606154025129021,48694,0.07884816638637783
