"sample_name","expiry_bin_6m","n_rows","n_players","mean_rating_raw","weighted_rating_raw"
"source_league_strict","0:6",5432,1427,5.93269067343432,6.47155711035915
"source_league_strict","6:12",6606,1775,5.95273687700936,6.46299788971273
"source_league_strict","12:18",8065,1995,6.14248268237239,6.59873168364074
"source_league_strict","18:24",8256,2112,6.15970088420543,6.57121589972636
"source_league_strict","24:30",8621,2105,6.14634072944803,6.60577370956072
"source_league_strict","30:36",7897,1964,6.12977708533078,6.57062185539103
"source_league_strict","36:48",11769,1650,6.29060953513872,6.70957887449883
"source_league_strict","48+",6185,889,6.28949017592486,6.75681737733876
"all_comps_strict","0:6",6361,1726,5.69810114337618,6.3360498462582
"all_comps_strict","6:12",7631,1984,5.50275062870122,6.17833907598408
"all_comps_strict","12:18",9272,2382,5.9040332705055,6.44701151729913
"all_comps_strict","18:24",9508,2342,5.67723305824032,6.26554290034879
"all_comps_strict","24:30",9669,2425,5.91268088162628,6.47446255092238
"all_comps_strict","30:36",8980,2140,5.67055063279953,6.28553991014802
"all_comps_strict","36:48",13102,1890,5.96036943408615,6.51921262492564
"all_comps_strict","48+",6686,962,6.03220990555959,6.63452458795581
