sample_name,rating_variable,n_rows,n_players,mean,median,variance,sd,min,p10,p25,p75,p90,max,mean_minutes
all_comps_strict,fotmob_mean_rating,34746,5078,5.482658455749236,6.18,3.477037385032087,1.864681577383143,0.4875,2.43333333333333,4.2,6.94,7.375,9.6,236.35592586196523
all_comps_strict,fotmob_minutes_weighted_rating,34746,5078,6.534556069984825,6.76,1.236802549628194,1.1121162482529396,0.284824902723735,5.35,6.225,7.18571428571429,7.53535301650056,9.6,236.35592586196523
source_league_strict,fotmob_mean_rating,27700,4552,5.918559523809533,6.6,3.023786183583436,1.7389037303955144,0.65,3.05,4.95,7.1,7.5,9.7,200.2123104693183
source_league_strict,fotmob_minutes_weighted_rating,27700,4552,6.788584297390873,6.845065522174535,0.519154705740051,0.7205239105956519,0.611111111111111,6,6.4,7.247304061784895,7.6,9.7,200.2123104693183
