sample_name,rating_variable,fotmob_source_league,n_rows,n_players,mean,median,sd
source_league_strict,fotmob_mean_rating,Turkish Super Lig,6285,505,6.594941978255105,6.78,1.0868009860526946
source_league_strict,fotmob_mean_rating,Belgian Pro League,6247,470,6.869409743343471,6.86666666666667,0.5827944280932089
source_league_strict,fotmob_mean_rating,Portuguese Primeira Liga,4858,391,6.573673185124194,6.76666666666667,1.1354334487783608
source_league_strict,fotmob_mean_rating,Italian Serie B,3881,357,6.483697831928443,6.75,1.2014734127042763
source_league_strict,fotmob_mean_rating,Saudi Pro League,3573,301,6.632235916196874,6.875,1.305197595870017
source_league_strict,fotmob_mean_rating,German 2. Bundesliga,3514,368,6.579024852969076,6.8,1.1772213795772173
source_league_strict,fotmob_mean_rating,Swiss Super League,3250,291,6.562964315018315,6.8,1.1937786898836031
source_league_strict,fotmob_mean_rating,Spanish LaLiga 2,3180,286,6.41739606918239,6.725,1.2800492960746646
source_league_strict,fotmob_mean_rating,English League One,2770,343,6.646521621970088,6.825,1.0218039790183369
source_league_strict,fotmob_mean_rating,Argentine Primera Division,2666,275,6.838591397849463,6.8,0.5586765884295002
source_league_strict,fotmob_mean_rating,French Ligue 2,2115,258,6.700100472813239,6.85,1.006766184366563
source_league_strict,fotmob_mean_rating,Danish Superligaen,2085,196,6.903135571542766,6.9,0.5968146140974049
source_league_strict,fotmob_minutes_weighted_rating,English Championship,12032,865,6.8168308132118085,6.85,0.5949130947432701
source_league_strict,fotmob_minutes_weighted_rating,Italian Serie A,11247,746,6.780457232072971,6.78684210526316,0.586953944767071
source_league_strict,fotmob_minutes_weighted_rating,English Premier League,10974,729,6.829928994863288,6.849354241877254,0.6367195993348884
source_league_strict,fotmob_minutes_weighted_rating,French Ligue 1,8804,654,6.873347979515428,6.9,0.6376214937644837
source_league_strict,fotmob_minutes_weighted_rating,German Bundesliga,8609,604,6.86730887004869,6.86666666666667,0.6469861333298783
source_league_strict,fotmob_minutes_weighted_rating,Spanish LaLiga,7756,507,6.809274250940949,6.80416666666667,0.6212548909142491
source_league_strict,fotmob_minutes_weighted_rating,Dutch Eredivisie,7676,532,6.869552673144411,6.88993670886076,0.6646540002108634
source_league_strict,fotmob_minutes_weighted_rating,Brazilian Serie A,6622,548,6.841003591679784,6.856368855163314,0.601008989449434
source_league_strict,fotmob_minutes_weighted_rating,Turkish Super Lig,6285,505,6.8393119564869505,6.85473684210526,0.645662661006662
source_league_strict,fotmob_minutes_weighted_rating,Belgian Pro League,6247,470,6.905047591100385,6.91,0.5968451461521281
source_league_strict,fotmob_minutes_weighted_rating,Portuguese Primeira Liga,4857,391,6.846260715257328,6.85369774919614,0.646114448903835
source_league_strict,fotmob_minutes_weighted_rating,Italian Serie B,3881,357,6.818948506564911,6.84426229508197,0.5943935954301439
source_league_strict,fotmob_minutes_weighted_rating,Saudi Pro League,3573,301,6.930883117677229,6.95236768802228,0.7239514309577368
source_league_strict,fotmob_minutes_weighted_rating,German 2. Bundesliga,3514,368,6.859135886852012,6.9,0.6566241191403008
source_league_strict,fotmob_minutes_weighted_rating,Swiss Super League,3250,291,6.8630750360029085,6.9,0.6572239906120335
source_league_strict,fotmob_minutes_weighted_rating,Spanish LaLiga 2,3180,286,6.793829465073877,6.82458530805687,0.6073640962861209
source_league_strict,fotmob_minutes_weighted_rating,English League One,2770,343,6.879308600414002,6.923400049737545,0.6202998912149553
source_league_strict,fotmob_minutes_weighted_rating,Argentine Primera Division,2666,275,6.873007727588607,6.875,0.5717009282392469
source_league_strict,fotmob_minutes_weighted_rating,French Ligue 2,2115,258,6.912284013348027,6.92,0.6225414733033205
source_league_strict,fotmob_minutes_weighted_rating,Danish Superligaen,2085,196,6.939748048074647,6.93333333333333,0.6063620251646896
