sample_name,rating_variable,expiry_bin_6m,n_rows,n_players,mean,median,variance,sd
all_comps_strict,fotmob_mean_rating,0:6,2813,1177,5.647210838002697,6.41666666666667,3.532714234688436,1.8795516046888514
all_comps_strict,fotmob_mean_rating,6:12,3776,1212,5.220630632902878,5.725,3.7024624776270665,1.924178390281698
all_comps_strict,fotmob_mean_rating,12:18,4494,1837,5.7503201093521525,6.43333333333333,3.196137831191807,1.7877745470813167
all_comps_strict,fotmob_mean_rating,18:24,4954,1428,5.403138731306374,6.01547619047619,3.48437897150697,1.8666491291903173
all_comps_strict,fotmob_mean_rating,24:30,4681,1858,5.648818789568094,6.4,3.386624178325484,1.8402782882829118
all_comps_strict,fotmob_mean_rating,30:36,4785,1313,5.320466645104575,5.825,3.4424602525893926,1.8553868202047228
all_comps_strict,fotmob_mean_rating,36:48,6203,1477,5.482019286622702,6.17142857142857,3.4425738704209232,1.855417438319723
all_comps_strict,fotmob_mean_rating,48+,3040,717,5.390505991541353,5.92857142857143,3.501770430025951,1.8713018008931512
all_comps_strict,fotmob_minutes_weighted_rating,0:6,2813,1177,6.6630914554479865,6.79416666666667,0.8330237360430264,0.9127013400028655
all_comps_strict,fotmob_minutes_weighted_rating,6:12,3776,1212,6.3799085026549545,6.6922195760895455,1.5412126652573215,1.2414558652071854
all_comps_strict,fotmob_minutes_weighted_rating,12:18,4494,1837,6.629711486705581,6.770622659176031,0.952939228148673,0.9761860622589696
all_comps_strict,fotmob_minutes_weighted_rating,18:24,4954,1428,6.429728031715078,6.726384574369435,1.5385319109975877,1.2403757136438893
all_comps_strict,fotmob_minutes_weighted_rating,24:30,4681,1858,6.631035197868238,6.8,0.9740819405253223,0.9869558959372614
all_comps_strict,fotmob_minutes_weighted_rating,30:36,4785,1313,6.420259556724461,6.72,1.5417977608428828,1.2416914918138413
all_comps_strict,fotmob_minutes_weighted_rating,36:48,6203,1477,6.567784113641205,6.78071216617211,1.162355516717478,1.0781259280424889
all_comps_strict,fotmob_minutes_weighted_rating,48+,3040,717,6.601413075676654,6.8,1.12149944959404,1.0590087108206618
source_league_strict,fotmob_mean_rating,0:6,2090,898,5.841474481658692,6.575,3.218112777525191,1.7939099134363439
source_league_strict,fotmob_mean_rating,6:12,2989,1011,5.796262645573452,6.55,3.2366845718357444,1.7990788120134549
source_league_strict,fotmob_mean_rating,12:18,3480,1471,5.988133415435139,6.6,2.8129795597121485,1.6771939541126866
source_league_strict,fotmob_mean_rating,18:24,3944,1184,6.030616367236551,6.675,2.865973478746465,1.6929186273257393
source_league_strict,fotmob_mean_rating,24:30,3763,1531,5.917020234615241,6.6,3.087147052062308,1.7570279030403324
source_league_strict,fotmob_mean_rating,30:36,3871,1125,5.944517166722023,6.6,2.8760334862771932,1.6958872268748277
source_league_strict,fotmob_mean_rating,36:48,5010,1218,5.928621946583026,6.6,3.021675272258869,1.7382966583005528
source_league_strict,fotmob_mean_rating,48+,2553,640,5.800064163542424,6.53333333333333,3.2260895270570153,1.7961318234074624
source_league_strict,fotmob_minutes_weighted_rating,0:6,2090,898,6.7760451863639375,6.8302614911328305,0.5025059052336808,0.7088765091563416
source_league_strict,fotmob_minutes_weighted_rating,6:12,2989,1011,6.728778029496162,6.8,0.5508240753142121,0.7421752322155544
source_league_strict,fotmob_minutes_weighted_rating,12:18,3480,1471,6.794294580316968,6.8358341908927205,0.4868663661993504,0.6977581000600068
source_league_strict,fotmob_minutes_weighted_rating,18:24,3944,1184,6.800061760861898,6.86666666666667,0.5206189991871338,0.7215393261542532
source_league_strict,fotmob_minutes_weighted_rating,24:30,3763,1531,6.786592563185075,6.852,0.5401860767445733,0.7349735211179879
source_league_strict,fotmob_minutes_weighted_rating,30:36,3871,1125,6.788323282033777,6.84302325581395,0.5094202626700185,0.7137368301201911
source_league_strict,fotmob_minutes_weighted_rating,36:48,5010,1218,6.804959741984658,6.85136948529412,0.5150683381957343,0.7176826166180523
source_league_strict,fotmob_minutes_weighted_rating,48+,2553,640,6.814551036568273,6.8648,0.5248878342753037,0.7244914314712795
