sample_name,rating_variable,n_rows,n_players,missing_rows,zero_rows,positive_rows,positive_players,positive_share
all_comps_strict,fotmob_mean_rating,71209,5448,0,3187,68022,5309,0.9552444213512337
all_comps_strict,fotmob_minutes_weighted_rating,71209,5448,0,3187,68022,5309,0.9552444213512337
source_league_strict,fotmob_mean_rating,62831,5141,0,2195,60636,4973,0.9650650156769748
source_league_strict,fotmob_minutes_weighted_rating,62831,5141,0,2195,60636,4973,0.9650650156769748
