sample_name,fotmob_position_group,n_rows,n_players,mean,median,variance,sd
match_level_all_comps,midfielders,62422,2474,6.896358655602191,6.8,0.558667472844367,0.7474406149282811
match_level_all_comps,defenders,55265,2325,6.885412105310775,6.9,0.5595924876828469,0.7480591471821242
match_level_all_comps,attackers,48832,1991,6.78224729685452,6.6,0.6925059937670484,0.8321694501524605
match_level_all_comps,keepers,13651,684,6.920225624496374,7,1.131395289749253,1.0636706678992578
match_level_source_league,midfielders,46310,2323,6.886596847333189,6.8,0.5449677311784238,0.7382192974844425
match_level_source_league,defenders,41323,2174,6.885799675725383,6.9,0.5480917489403883,0.7403321882374075
match_level_source_league,attackers,33929,1840,6.765239175926197,6.6,0.6755058678403438,0.8218916399625584
match_level_source_league,keepers,10399,574,6.925079334551399,7,1.123090912632095,1.0597598372424268
