sample_name,n_rows,n_tm_players,n_fotmob_players,n_matches,mean,median,variance,sd,min,p10,p25,p75,p90,max,mean_minutes
match_level_all_comps,180170,7474,7474,14615,6.863881334295388,6.8,0.6411615082672097,0.8007256135950752,0.8,6,6.3,7.4,7.9,10,69.57658322695231
match_level_source_league,131961,6911,6911,8931,6.8581770371549196,6.8,0.6281460978179744,0.7925566842932904,0.8,6,6.3,7.4,7.9,10,70.14417138396874
