sample_name,rating_variable,GenPosition,n_rows,n_players,mean,median,variance,sd
all_comps_strict,fotmob_mean_rating,Defense,11460,1666,5.450430759854841,6.16,3.479524038601065,1.865348235210001
all_comps_strict,fotmob_mean_rating,Midfield,10803,1535,5.589486551354781,6.3,3.3682262972696715,1.8352728127637241
all_comps_strict,fotmob_mean_rating,Attack,9928,1432,5.45021388121459,6.1,3.294818602194864,1.8151635194094398
all_comps_strict,fotmob_mean_rating,Goalkeeper,2555,445,5.301592003343471,6.025,4.548609095354941,2.132746842772236
all_comps_strict,fotmob_minutes_weighted_rating,Defense,11460,1666,6.596914052004776,6.8228097429434005,1.0414613049664998,1.0205201149249827
all_comps_strict,fotmob_minutes_weighted_rating,Midfield,10803,1535,6.565325705957335,6.796875,1.2607090874676,1.1228130242687782
all_comps_strict,fotmob_minutes_weighted_rating,Attack,9928,1432,6.392850381379421,6.59483227136432,1.4237942843416116,1.1932285130441744
all_comps_strict,fotmob_minutes_weighted_rating,Goalkeeper,2555,445,6.675388643415323,6.85,1.1674193707470006,1.080471827835877
source_league_strict,fotmob_mean_rating,Defense,9309,1520,5.869143251026913,6.65,3.11200362046355,1.764087191854062
source_league_strict,fotmob_mean_rating,Midfield,8835,1382,5.967691756272405,6.65,2.996821851720727,1.7311331120744953
source_league_strict,fotmob_mean_rating,Attack,7640,1290,5.853376807529292,6.45,2.9440176879229516,1.7158140015523102
source_league_strict,fotmob_mean_rating,Goalkeeper,1916,360,6.192008773237896,6.8,2.927550928206089,1.7110087458005845
source_league_strict,fotmob_minutes_weighted_rating,Defense,9309,1520,6.833946873612935,6.9,0.40207396265244905,0.6340930236585552
source_league_strict,fotmob_minutes_weighted_rating,Midfield,8835,1382,6.819105645851139,6.86666666666667,0.51221760356178625,0.7156937917585888
source_league_strict,fotmob_minutes_weighted_rating,Attack,7640,1290,6.672204037035608,6.69701645175634,0.6452341398190483,0.803264676068261
source_league_strict,fotmob_minutes_weighted_rating,Goalkeeper,1916,360,6.891511673913098,6.95,0.5391773997397227,0.7342870009333698
