sample_name,transformation,n_rows,n_players,n_matches,mean,median,variance,sd,min,p10,p25,p75,p90,max
match_level_all_comps,log_rating,180170,7474,14615,1.9194285549764556,1.916922612182061,0.013811782371666663,0.11752353964915566,-0.2231435513142097,1.791759469228055,1.840549633397487,2.0014800002101243,2.066862759472976,2.302585092994046
match_level_all_comps,standardized_within_sample,180170,7474,14615,-3.16163750512389e-16,-0.07977930668234057,1.0000000000000002,1,-7.572982843738096,-1.0788731116231078,-0.7042129347703202,0.6695410470232357,1.2939746751112153,3.9165959130807293
match_level_source_league,log_rating,131961,6911,8931,1.918713149411226,1.916922612182061,0.013590651080787483,0.11657894784560154,-0.2231435513142097,1.791759469228055,1.840549633397487,2.0014800002101243,2.066862759472976,2.302585092994046
match_level_source_league,standardized_within_sample,131961,6911,8931,1.2383265218808898e-16,-0.07340426029816811,1,1,-7.643840695832327,-1.0827957850360557,-0.704273963259348,0.6836393832552484,1.3145090862164284,3.9641618386533835
