tm_player_id,player_name_tm,fotmob_player_id,fotmob_player_name,date_of_birth,fotmob_dob,dob_status,merge_safe,review_flag
1010150,Adam Bakoune,1425693,Adam Bakoune,2006-02-06,2006-02-06,verified,TRUE,auto_keep_candidate
326505,Adam Bergmark Wiberg,837016,Adam Bergmark Wiberg,1997-05-07,1997-05-07,verified,TRUE,ambiguous_top_match
1064506,Adam Boayar,1577912,Adam Boayar,2005-10-13,2005-10-13,verified,TRUE,auto_keep_candidate
267160,Adam Buksa,557396,Adam Buksa,1996-07-12,1996-07-12,verified,TRUE,auto_keep_candidate
881297,Adam Daghim,1353000,Adam Daghim,2005-09-28,2005-09-28,verified,TRUE,auto_keep_candidate
121254,Adam Davies,401932,Adam Davies,1992-07-17,1992-07-17,verified,TRUE,auto_keep_candidate
236966,Adam Dzwigala,361712,Adam Dzwigala,1995-09-25,1995-09-25,verified,TRUE,ambiguous_top_match
121257,Adam Forshaw,191175,Adam Forshaw,1991-10-08,1991-10-08,verified,TRUE,auto_keep_candidate
552057,Adam Hlozek,969870,Adam Hlozek,2002-07-25,2002-07-25,verified,TRUE,auto_keep_candidate
434223,Adam Idah,846009,Adam Idah,2001-02-11,2001-02-11,verified,TRUE,auto_keep_candidate
134419,Adam Jackson,529887,Adam Jackson,1994-05-18,1994-05-18,verified,TRUE,auto_keep_candidate
503602,Adam Jakobsen,732103,Adam Jakobsen,1999-04-07,1999-04-07,verified,TRUE,ambiguous_top_match
889437,Adam Kadlec,1252019,Adam Kadlec,2003-07-06,2003-07-06,verified,TRUE,auto_keep_candidate
652061,Adam Karabec,1135655,Adam Karabec,2003-07-02,2003-07-02,verified,TRUE,auto_keep_candidate
677528,Adam Lupac,1282945,Adam Lupac,2000-09-20,2000-09-20,verified,TRUE,review
122421,Adam Maher,209372,Adam Maher,1993-07-20,1993-07-20,verified,TRUE,ambiguous_top_match
592878,Adam Markhiev,1062357,Adam Markhiev,2002-03-17,2002-03-17,verified,TRUE,needs_manual_team_check
239802,Adam Marusic,478447,Adam Marusic,1992-10-17,1992-10-17,verified,TRUE,auto_keep_candidate
286949,Adam Masina,500502,Adam Masina,1994-01-02,1994-01-02,verified,TRUE,auto_keep_candidate
757272,Adam Montgomery,1233682,Adam Montgomery,2002-07-18,2002-07-18,verified,TRUE,auto_keep_candidate
568333,Adam Obert,1289961,Adam Obert,2002-08-23,2002-08-23,verified,TRUE,auto_keep_candidate
314381,Adam Phillips,562592,Adam Phillips,1998-01-15,1998-01-15,verified,TRUE,auto_keep_candidate
633463,Adam Randell,982599,Adam Randell,2000-10-01,2000-10-01,verified,TRUE,auto_keep_candidate
163530,Adam Reach,261801,Adam Reach,1993-02-03,1993-02-03,verified,TRUE,needs_manual_team_check
61841,Adam Smith,160447,Adam Smith,1991-04-29,1991-04-29,verified,TRUE,auto_keep_candidate
281906,Adam Vlkanova,559481,Adam Vlkanova,1994-09-04,1994-09-04,verified,TRUE,auto_keep_candidate
212847,Adam Webster,303346,Adam Webster,1995-01-04,1995-01-04,verified,TRUE,review
744149,Adam Wharton,1296650,Adam Wharton,2004-02-06,2004-02-06,verified,TRUE,auto_keep_candidate
710671,Adama Boiro,1331249,Adama Boiro,2002-06-22,2002-06-22,verified,TRUE,auto_keep_candidate
1111912,Adama Bojang,1478147,Adama Bojang,2004-05-28,2004-05-28,verified,TRUE,auto_keep_candidate
973949,Adama Camara,1513317,Adama Camara,1996-10-18,1996-10-18,verified,TRUE,auto_keep_candidate
800976,Adamo Nagalo,1237425,Adamo Nagalo,2002-09-22,2002-09-22,verified,TRUE,auto_keep_candidate
1071742,Adem Arous,1797902,Adem Arous,2004-07-17,2004-07-17,verified,TRUE,needs_manual_team_check
952771,Adem Avdic,1763573,Adem Avdic,2007-09-24,2007-09-24,verified,TRUE,ambiguous_top_match
620083,Adem Eren Kabak,1210027,Adem Eren Kabak,2000-12-12,2000-12-12,verified,TRUE,auto_keep_candidate
6994,Adem Kocak,11923,Adem Kocak,1983-09-01,1983-09-01,verified,TRUE,auto_keep_candidate
727101,Adem Metin Turk,1665504,Adem Metin Turk,2004-01-15,2004-01-15,verified,TRUE,auto_keep_candidate
