minutes,mean_rating,sd_rating,share_below_5_5,share_above_7_5,n
0-14,6.238556566970091,0.365583972286027,0.007730096806819823,0.006285218899003034,13842
15-29,6.360512307884544,0.4574375916336742,0.009746345120579782,0.02174184680744721,40015
30-44,6.436408106219427,0.5552472992463221,0.026467505241090147,0.03677498252969951,11448
45-59,6.502668269230769,0.6055690888241544,0.02503434065934066,0.05618131868131868,29120
60-74,6.777218388570318,0.7135660633860909,0.01647390416950141,0.13866750899018368,41156
75-89,7.0876824447056315,0.7885704801535716,0.012522705417245433,0.2676568009402714,46795
90-120,7.087519103743041,0.8262062380156241,0.03213314337521046,0.28491128092216034,154420
