fotmob_position_group,n,r2_full,r2_goals_assists_only,coef_goal,coef_assist,coef_red,coef_per_90min,team_passthrough
attackers,131364,0.7479620791966748,0.63491291727081,1.0269691459986114,0.8535554086852151,-1.0532915904894848,0.7135715582630437,0.39394314213912457
defenders,157591,0.5028057789397861,0.16838752551834313,0.918600407431957,0.7278806671296201,-1.036183563796855,0.8422885619005261,0.8203792090461917
keepers,40057,0.2345552301778232,0.0047589249835326974,1.143025629995425,0.8212579581357498,-1.1955655052539214,0.674132722363872,1.1964574103267445
midfielders,175224,0.6444211787758352,0.37902236527081246,0.9542443958890922,0.784410472661792,-1.044956709025319,0.9672313716753165,0.5278288278322384
