term,estimate,std_error,t_value,p_value
(Intercept),1.728917964182607,0.01701826040552951,101.59193260557073,0
minutes_played,0.010042778607701943,3.8458416827944126e-5,261.13343803598275,0
goals,0.9256344606146848,0.003192346985855394,289.95421384829814,0
assists,0.7677675543109707,0.0039260500822051805,195.55724920343644,0
yellow_cards,-0.0233884407408247,0.0029930129877437693,-7.814346558668183,5.544921793070054e-15
red_cards,-1.0321022483873845,0.012536271514351825,-82.32928324867638,0
is_home_teamTRUE,0.02176065806264196,0.0020838657568481066,10.442447163945646,1.604829162112446e-25
team_loo,0.6266235604742396,0.0024806990445123906,252.59958956343678,0
